Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation,Summer,Autumn,Winter,Spring,total
961230947,Others,Average,4.9,Medium,Winter,Others,short,natural,polyster,broadcloth,ruffles,solid,0,203,581.0,158.0,56,998.0
1002440915,Casual,Medium,0.0,Free,Spring,o-neck,sleevless,natural,cotton,broadcloth,Others,solid,1,365,653.0,248.0,79,1345.0
1096779299,Casual,Average,0.0,Free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,0,69,153.0,84.0,8,314.0
870994067,cute,Low,4.9,Medium,Autumn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,0,788,1646.0,634.0,127,3195.0
560474456,Sexy,low,4.3,Free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,1,1743,2929.0,1103.0,334,6109.0
860406062,Casual,Average,4.6,Medium,Winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid,1,585,1648.0,452.0,154,2839.0
1019134411,Casual,Average,5.0,Medium,Autumn,v-neck,short,natural,cotton,broadcloth,beading,solid,0,2953,6222.0,2313.0,513,12001.0
767971724,Brief,Average,4.3,Medium,Spring,o-neck,full,natural,mix,worsted,Others,patchwork,1,450,988.0,378.0,72,1888.0
1249825438,Sexy,Average,0.0,Free,Autumn,o-neck,full,natural,polyster,sattin,hollowout,solid,0,226,696.0,190.0,41,1153.0
976975672,Others,Average,4.9,Medium,Autumn,o-neck,short,natural,polyster,chiffon,Others,print,0,546,1168.0,411.0,101,2226.0
943844640,Brief,Average,5.0,Free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,1,655,1415.0,587.0,112,2769.0
893330898,Sexy,Low,4.6,Free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,0,2076,3905.0,1488.0,383,7852.0
751364614,Others,Average,4.7,Free,Spring,Others,sleevless,empire,rayon,chiffon,beading,solid,1,285,807.0,234.0,71,1397.0
511503677,Casual,Low,4.4,Medium,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid,0,1836,5018.0,1192.0,623,8669.0
956758119,Casual,Low,4.5,Free,Autumn,v-neck,short,natural,silk,worsted,lace,solid,0,2071,3913.0,1497.0,387,7868.0
722020708,Casual,Low,4.5,Free,Winter,o-neck,full,natural,mix,worsted,applique,solid,0,2887,4726.0,1795.0,568,9976.0
629131530,cute,Low,4.7,Medium,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1,35577,55532.0,20388.0,7374,118871.0
877962269,Casual,Average,4.7,Medium,Winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,0,355,824.0,324.0,45,1548.0
919930954,Casual,Low,4.4,Free,Summer,v-neck,short,empire,cotton,Corduroy,lace,solid,0,1763,4828.0,1258.0,538,8387.0
832391864,Casual,Average,0.0,Large,Winter,Others,short,natural,mix,poplin,applique,solid,1,176,364.0,129.0,36,705.0
547555172,cute,Low,4.7,Extra Large,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,0,6500,10125.0,3825.0,1322,21772.0
1072477320,Casual,Low,0.0,Free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,0,1770,3358.0,1286.0,308,6722.0
932913675,Casual,Low,5.0,Free,Summer,o-neck,sleevless,natural,Others,jersey,Others,solid,1,50,144.0,43.0,8,245.0
1225512606,cute,High,0.0,Medium,Winter,o-neck,Others,empire,silk,chiffon,lace,patchwork,0,42,104.0,35.0,11,192.0
939250541,Casual,Average,4.8,Medium,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,print,0,371,1078.0,362.0,55,1866.0
1150275464,Casual,Low,0.0,Medium,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,1,1265,2751.0,1061.0,205,5282.0
956453735,cute,low,5.0,Large,Winter,o-neck,Others,natural,silk,chiffon,sashes,print,0,454,1004.0,355.0,93,1906.0
857432541,Casual,Low,4.7,Free,Spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print,0,236,669.0,192.0,57,1154.0
1039384371,Casual,Average,4.8,Free,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,0,216,602.0,174.0,50,1042.0
1018130478,Casual,Low,4.7,Large,Autumn,o-neck,full,,cotton,chiffon,lace,print,0,1703,3365.0,1242.0,310,6620.0
734061929,Casual,Low,4.7,Large,Spring,o-neck,short,,chiffonfabric,chiffon,bow,dot,0,11260,18090.0,6524.0,2377,38251.0
976975672,Others,Average,4.9,Medium,Autumn,o-neck,short,natural,polyster,chiffon,Others,print,0,387,1165.0,314.0,100,1966.0
817353671,Others,Low,4.6,Free,Summer,o-neck,sleevless,natural,cotton,chiffon,Others,solid,1,737,2059.0,538.0,217,3551.0
732650169,cute,Low,4.7,Medium,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,1,9858,16685.0,6218.0,1890,34651.0
537463111,Casual,Average,4.7,Medium,Summer,o-neck,Others,,chiffonfabric,chiffon,Others,solid,0,974,2588.0,650.0,321,4533.0
886351969,cute,Medium,4.8,Free,Spring,Others,sleevless,natural,polyster,chiffon,sashes,solid,1,2233,3736.0,1381.0,443,7793.0
1160536550,Casual,Average,0.0,Large,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,1,216,497.0,170.0,44,927.0
805438829,Sexy,Low,4.8,Large,Summer,v-neck,full,natural,cotton,jersey,applique,print,1,3723,6831.0,2477.0,718,13749.0
1117293701,Others,Average,5.0,Free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0,275,624.0,245.0,49,1193.0
1210582154,Others,Low,0.0,Medium,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,1,2376,5879.0,2807.0,341,11403.0
785830491,cute,Average,0.0,Extra Large,Spring,boat-neck,full,,cotton,worsted,applique,dot,1,70,152.0,57.0,14,293.0
1026634314,Casual,Average,4.4,Large,Autumn,o-neck,sleevless,natural,Others,chiffon,ruffles,Others,0,4724,8284.0,3159.0,931,17098.0
860334943,Casual,Medium,4.9,Large,Winter,o-neck,short,natural,cotton,broadcloth,sashes,solid,0,689,1854.0,536.0,175,3254.0
851945460,Casual,Average,4.6,Large,Autumn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,0,6871,12187.0,4555.0,1330,24943.0
818295153,Others,low,5.0,Free,Summer,o-neck,sleevless,empire,cotton,broadcloth,Others,print,1,181,562.0,154.0,42,939.0
953168456,cute,Average,4.7,Large,Summer,o-neck,sleevless,natural,polyster,broadcloth,lace,solid,0,97,272.0,96.0,16,481.0
1033144189,cute,Average,4.7,Medium,Spring,o-neck,full,natural,rayon,chiffon,beading,solid,1,195,559.0,165.0,44,963.0
659466129,Casual,Average,0.0,Medium,Winter,o-neck,full,natural,cotton,jersey,Others,solid,1,8,19.0,8.0,1,36.0
756620535,Casual,Low,4.6,Free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,1,1606,3188.0,1229.0,280,6303.0
1069577979,Casual,Low,4.0,Free,Summer,v-neck,sleevless,natural,cotton,broadcloth,hollowout,print,0,156,483.0,132.0,31,802.0
658650071,Casual,Medium,4.8,Medium,Winter,Others,short,natural,polyster,chiffon,lace,patchwork,0,3840,5825.0,2132.0,810,12607.0
974438263,cute,Low,0.0,Free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork,1,15,47.0,14.0,3,79.0
1072784739,Casual,low,5.0,Free,Spring,Others,sleevless,natural,silk,chiffon,applique,print,0,522,1343.0,422.0,134,2421.0
641665398,Casual,Low,4.8,Free,Winter,Others,full,natural,polyster,chiffon,bow,solid,0,30,80.0,19.0,10,139.0
560474456,Sexy,low,4.4,Free,Autumn,v-neck,sleevless,natural,cotton,worsted,lace,solid,0,1743,2929.0,1103.0,334,6109.0
980295760,Casual,Low,4.8,Extra Large,Summer,o-neck,short,empire,mix,chiffon,sashes,Others,0,1459,2871.0,1017.0,285,5632.0
1246945687,Others,Average,0.0,Free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid,0,132,405.0,110.0,26,673.0
560474456,Sexy,low,4.3,Free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,1,1081,2923.0,762.0,336,5102.0
751776863,Casual,Average,4.5,Free,Autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid,1,87,237.0,82.0,13,419.0
959052557,Casual,Average,4.2,Small,Winter,v-neck,sleevless,empire,Others,chiffon,hollowout,patchwork,0,889,2419.0,617.0,282,4207.0
832090686,cute,Average,4.6,Medium,Autumn,o-neck,Others,natural,silk,chiffon,sashes,print,0,1264,3404.0,873.0,399,5940.0
870994067,cute,Low,4.9,Medium,Autumn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,0,596,1631.0,522.0,122,2871.0
1109819647,Casual,Average,0.0,Free,Winter,o-neck,short,natural,polyster,chiffon,Others,solid,0,42,126.0,34.0,8,210.0
1116072373,Others,Medium,4.2,Medium,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,Others,1,176,503.0,134.0,50,863.0
1028061165,Casual,Average,4.5,Medium,Winter,o-neck,sleevless,natural,polyster,chiffon,Others,Others,0,268,763.0,204.0,70,1305.0
1000425584,cute,Average,4.5,Large,Winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid,1,143,421.0,112.0,29,705.0
1246749980,Others,Average,0.0,Small,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,0,1324,3999.0,1544.0,48,6915.0
903426442,Others,Average,3.6,Large,Winter,v-neck,full,natural,polyster,woolen,beading,solid,1,4749,,2780.0,942,
1122991519,Sexy,Low,0.0,Free,Winter,o-neck,sleevless,natural,Others,chiffon,hollowout,solid,0,330,769.0,355.0,3,1457.0
876339541,cute,Low,4.5,Medium,Summer,o-neck,Others,natural,chiffonfabric,chiffon,bow,dot,0,7706,14676.0,5678.0,1396,29456.0
1024954013,Casual,Average,4.7,Large,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,0,1408,2422.0,906.0,285,5021.0
907117649,Others,Average,4.7,Medium,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,0,6711,12163.0,4613.0,1226,24713.0
1113094204,Others,Average,0.0,Free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1,68,181.0,60.0,12,321.0
1027818824,Casual,Medium,0.0,Medium,Spring,v-neck,Others,natural,silk,chiffon,ruffles,solid,1,10,17.0,6.0,3,36.0
907669618,Sexy,Average,0.0,Free,Spring,v-neck,full,natural,cotton,wollen,lace,solid,1,2,1.0,0.0,1,4.0
1061890181,Casual,Average,0.0,Large,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,Others,solid,0,31,85.0,24.0,8,148.0
845853510,Casual,Average,4.5,Large,Summer,o-neck,short,natural,cotton,jersey,Others,solid,0,747,2003.0,656.0,164,3570.0
560474456,Sexy,low,4.4,Free,Autumn,v-neck,sleevless,natural,cotton,worsted,lace,solid,0,1081,2923.0,762.0,336,5102.0
870994067,cute,Low,4.8,Medium,Spring,o-neck,short,natural,Others,shiffon,bow,dot,1,788,1646.0,634.0,127,3195.0
1130994272,Casual,Low,5.0,Medium,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,Others,0,639,1129.0,414.0,127,2309.0
912614690,Others,Low,5.0,Free,Spring,o-neck,short,natural,Others,jersey,sashes,print,1,86,248.0,76.0,19,429.0
955679920,Sexy,Average,4.8,Small,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid,0,437,1213.0,396.0,79,2125.0
828623528,Casual,Average,4.6,Free,Autumn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,1,7338,12361.0,4627.0,1415,25741.0
593007494,Casual,Low,4.6,Free,Spring,v-neck,sleevless,natural,silk,chiffon,Others,solid,0,1067,2587.0,691.0,399,4744.0
1216538883,cute,Average,0.0,Medium,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,0,1941,5454.0,1861.0,237,9493.0
1223469038,Sexy,Average,0.0,Free,Winter,Others,sleevless,natural,cotton,broadcloth,Others,solid,1,22,23.0,28.0,2,75.0
